epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.2285,1.13727,2.58671,1.13369,0.92864,0.08385,0.31812,0.25773,0.99764,2.90422,1.02212,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381
2,22.1021,1.03602,1.43044,1.06581,0.82871,0.42551,0.57628,0.39973,1.15566,2.03344,1.12684,0.0198018,0.0066006,0.0198018,0.0066006,0.0198018,0.0066006,0.0198018,0.0066006
3,31.7871,1.08733,1.33443,1.08065,0.66305,0.53348,0.59347,0.38277,1.2337,1.65412,1.16789,0.0297624,0.00992079,0.0297624,0.00992079,0.0297624,0.00992079,0.0297624,0.00992079
4,41.5223,1.07854,1.30544,1.06363,0.68837,0.51697,0.59065,0.3685,1.19458,1.68131,1.1585,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,51.4429,1.08261,1.24201,1.07825,0.73777,0.54825,0.62972,0.39449,1.22739,1.61109,1.18185,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,61.6779,1.03988,1.14725,1.0577,0.67825,0.61235,0.68351,0.454,1.13861,1.31768,1.09988,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,72.2444,1.01171,1.08741,1.04954,0.65644,0.63873,0.66727,0.43049,1.26295,1.34832,1.1951,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,82.6252,1.02057,1.06352,1.04762,0.6996,0.67685,0.73082,0.49973,1.06092,1.15825,1.07355,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,93.6035,0.99404,1.00988,1.03421,0.74556,0.66022,0.7393,0.4895,1.08533,1.14147,1.07842,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,104.638,0.95741,0.98113,1.02305,0.69096,0.66884,0.72207,0.49365,1.10329,1.19829,1.09509,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
