epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.8622,0.99341,1.59051,1.09439,0.77794,0.67779,0.7662,0.5571,0.87585,0.93495,1.00295,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381,0.00982143,0.00327381
2,29.526,0.84973,0.91493,1.00345,0.835,0.68951,0.78365,0.55744,0.87624,1.00982,0.99608,0.0198018,0.0066006,0.0198018,0.0066006,0.0198018,0.0066006,0.0198018,0.0066006
3,43.5024,0.90252,0.93628,1.00879,0.71105,0.56016,0.60427,0.41378,1.11878,1.43825,1.16584,0.0297624,0.00992079,0.0297624,0.00992079,0.0297624,0.00992079,0.0297624,0.00992079
4,57.464,0.92686,0.94316,1.01049,0.72191,0.66788,0.70811,0.46415,1.05032,1.25367,1.06965,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,71.0601,0.93479,0.87461,1.02284,0.72535,0.62463,0.6943,0.46275,1.09833,1.14052,1.11,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,84.792,0.93438,0.8355,1.01335,0.75661,0.68333,0.74649,0.50464,0.99192,1.00727,1.02942,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,99.0407,0.90385,0.81218,1.00573,0.76828,0.68531,0.76202,0.52423,0.97696,1.00583,1.04131,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,113.162,0.8955,0.80657,1.00389,0.73493,0.7752,0.78636,0.53341,0.95923,0.88926,1.02363,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,127.667,0.88024,0.77848,0.9939,0.80676,0.73169,0.80333,0.56284,0.9606,0.87961,1.02227,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,142.328,0.86805,0.77778,0.99256,0.77655,0.73908,0.79888,0.55688,0.96164,0.88588,1.01604,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,156.803,0.8642,0.74218,0.987,0.69944,0.78652,0.78837,0.55981,0.94488,0.91152,1.0184,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,173.387,0.82773,0.72002,0.97117,0.75562,0.78183,0.80709,0.57999,0.91502,0.81526,0.987,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,191.295,0.84148,0.71117,0.97892,0.84495,0.72108,0.82325,0.5993,0.87566,0.83861,0.993,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,207.718,0.81483,0.67709,0.96739,0.76515,0.75256,0.80859,0.58846,0.88805,0.84828,0.99489,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,222.727,0.8122,0.67645,0.95738,0.77025,0.76949,0.81379,0.57377,0.9213,0.82584,0.99702,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,237.337,0.80559,0.66981,0.95511,0.7786,0.7828,0.81474,0.58263,0.92291,0.84564,1.02002,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,252.465,0.78261,0.66597,0.95565,0.8342,0.73709,0.81284,0.60038,0.8883,0.7905,0.99119,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,267.616,0.76871,0.64343,0.95159,0.7563,0.77137,0.81931,0.59459,0.89166,0.81948,1.00386,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,283.224,0.77438,0.63222,0.94752,0.75646,0.73613,0.78902,0.57859,0.88621,0.91205,0.99071,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,298.796,0.75579,0.6228,0.94092,0.7868,0.75511,0.79932,0.59127,0.8747,0.81569,1.00241,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,313.641,0.74672,0.63326,0.94289,0.78418,0.73523,0.79629,0.58697,0.8771,0.81552,0.98401,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,328.589,0.73459,0.60202,0.93414,0.75585,0.77438,0.80381,0.58701,0.89833,0.8594,0.99733,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,343.615,0.74744,0.61977,0.93518,0.80699,0.71057,0.81302,0.58943,0.87215,0.8144,0.98557,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,358.762,0.73875,0.60695,0.94263,0.77715,0.71556,0.79352,0.59038,0.85727,0.80532,0.98221,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,373.819,0.74176,0.60816,0.93948,0.77917,0.75439,0.80508,0.58871,0.89493,0.81037,0.9979,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,388.874,0.71568,0.58907,0.92326,0.76773,0.74194,0.7985,0.57328,0.87082,0.79905,0.98918,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,404.272,0.70759,0.57987,0.92397,0.77172,0.80453,0.8106,0.59425,0.84579,0.78656,0.97795,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
28,419.786,0.70544,0.57507,0.92609,0.79884,0.75868,0.81524,0.59134,0.87572,0.81069,1.0011,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
29,434.562,0.7102,0.58963,0.92493,0.83922,0.71137,0.81166,0.59156,0.873,0.81893,1.01323,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
30,449.929,0.69186,0.56042,0.91765,0.76642,0.73811,0.80017,0.59692,0.83781,0.77822,0.96653,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
31,465.473,0.67881,0.55689,0.91343,0.76223,0.7655,0.81094,0.60835,0.85993,0.80113,0.99143,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
32,481.01,0.69811,0.55888,0.9184,0.77212,0.78119,0.80455,0.60064,0.85859,0.81102,0.98059,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
33,496.424,0.6986,0.56038,0.92328,0.77799,0.75756,0.79612,0.59466,0.84788,0.77639,0.98119,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
34,512.006,0.68222,0.5495,0.91477,0.8124,0.77315,0.82136,0.60718,0.87254,0.80336,0.99295,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
35,527.63,0.6866,0.55786,0.92026,0.78447,0.75461,0.82073,0.59909,0.89059,0.80895,1.01863,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
36,543.314,0.6805,0.53775,0.91187,0.79899,0.76596,0.81733,0.60465,0.89423,0.78315,1.01504,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
37,558.843,0.67337,0.5454,0.90971,0.8262,0.7537,0.82177,0.61809,0.85678,0.77077,0.98736,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
38,574.191,0.65482,0.53628,0.91028,0.79016,0.77133,0.81084,0.59676,0.87297,0.82855,0.98861,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
